Country Code,Country,Continent,Sub Region
LBR,Liberia,Africa,Western Africa
LBY,Libya,Africa,Northern Africa
LIE,Liechtenstein,Europe,Western Europe
LTU,Lithuania,Europe,Northern Europe
LUX,Luxembourg,Europe,Western Europe
MAC,Macao,Asia,Eastern Asia
MKD,Macedonia (the former Yugoslav Republic of),Europe,Southern Europe
MDG,Madagascar,Africa,Eastern Africa
MWI,Malawi,Africa,Eastern Africa
MYS,Malaysia,Asia,South-Eastern Asia
MDV,Maldives,Asia,Southern Asia
MLI,Mali,Africa,Western Africa
MLT,Malta,Europe,Southern Europe
MHL,Marshall Islands,Oceania,Micronesia
MTQ,Martinique,Americas,Caribbean
MRT,Mauritania,Africa,Western Africa
MUS,Mauritius,Africa,Eastern Africa
MYT,Mayotte,Africa,Eastern Africa
MEX,Mexico,Americas,Central America
FSM,Micronesia (Federated States of),Oceania,Micronesia
MDA,Moldova (Republic of),Europe,Eastern Europe
MCO,Monaco,Europe,Western Europe
MNG,Mongolia,Asia,Eastern Asia
MNE,Montenegro,Europe,Southern Europe
MSR,Montserrat,Americas,Caribbean
MAR,Morocco,Africa,Northern Africa
MOZ,Mozambique,Africa,Eastern Africa
MMR,Myanmar,Asia,South-Eastern Asia
NAM,Namibia,Africa,Southern Africa
NRU,Nauru,Oceania,Micronesia
NPL,Nepal,Asia,Southern Asia
NLD,Netherlands,Europe,Western Europe
NCL,New Caledonia,Oceania,Melanesia
NZL,New Zealand,Oceania,Australia and New Zealand
NIC,Nicaragua,Americas,Central America
NER,Niger,Africa,Western Africa
NGA,Nigeria,Africa,Western Africa
NIU,Niue,Oceania,Polynesia
NFK,Norfolk Island,Oceania,Australia and New Zealand
MNP,Northern Mariana Islands,Oceania,Micronesia
NOR,Norway,Europe,Northern Europe
OMN,Oman,Asia,Western Asia
PAK,Pakistan,Asia,Southern Asia
PLW,Palau,Oceania,Micronesia
PSE,"Palestine, State of",Asia,Western Asia
PAN,Panama,Americas,Central America
PNG,Papua New Guinea,Oceania,Melanesia
PRY,Paraguay,Americas,South America
PER,Peru,Americas,South America
PHL,Philippines,Asia,South-Eastern Asia
PCN,Pitcairn,Oceania,Polynesia
POL,Poland,Europe,Eastern Europe
PRT,Portugal,Europe,Southern Europe
PRI,Puerto Rico,Americas,Caribbean
QAT,Qatar,Asia,Western Asia
REU,Réunion,Africa,Eastern Africa
ROU,Romania,Europe,Eastern Europe
RUS,Russian Federation,Europe,Eastern Europe
RWA,Rwanda,Africa,Eastern Africa
BLM,Saint Barthélemy,Americas,Caribbean
SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa
KNA,Saint Kitts and Nevis,Americas,Caribbean
LCA,Saint Lucia,Americas,Caribbean
MAF,Saint Martin (French part),Americas,Caribbean
SPM,Saint Pierre and Miquelon,Americas,Northern America
VCT,Saint Vincent and the Grenadines,Americas,Caribbean
WSM,Samoa,Oceania,Polynesia
SMR,San Marino,Europe,Southern Europe
STP,Sao Tome and Principe,Africa,Middle Africa
SAU,Saudi Arabia,Asia,Western Asia
SEN,Senegal,Africa,Western Africa
SRB,Serbia,Europe,Southern Europe
SYC,Seychelles,Africa,Eastern Africa
SLE,Sierra Leone,Africa,Western Africa
SGP,Singapore,Asia,South-Eastern Asia
SXM,Sint Maarten (Dutch part),Americas,Caribbean
SVK,Slovakia,Europe,Eastern Europe
SVN,Slovenia,Europe,Southern Europe
SLB,Solomon Islands,Oceania,Melanesia
SOM,Somalia,Africa,Eastern Africa
ZAF,South Africa,Africa,Southern Africa
SSD,South Sudan,Africa,Eastern Africa
ESP,Spain,Europe,Southern Europe
LKA,Sri Lanka,Asia,Southern Asia
SDN,Sudan,Africa,Northern Africa
SUR,Suriname,Americas,South America
SJM,Svalbard and Jan Mayen,Europe,Northern Europe
SWZ,Swaziland,Africa,Southern Africa
SWE,Sweden,Europe,Northern Europe
CHE,Switzerland,Europe,Western Europe
SYR,Syrian Arab Republic,Asia,Western Asia
TWN,"Taiwan, Province of China",Asia,Eastern Asia
TJK,Tajikistan,Asia,Central Asia
TZA,"Tanzania, United Republic of",Africa,Eastern Africa
THA,Thailand,Asia,South-Eastern Asia
TLS,Timor-Leste,Asia,South-Eastern Asia
TGO,Togo,Africa,Western Africa
TKL,Tokelau,Oceania,Polynesia
TON,Tonga,Oceania,Polynesia
TTO,Trinidad and Tobago,Americas,Caribbean
TUN,Tunisia,Africa,Northern Africa
TUR,Turkey,Asia,Western Asia
TKM,Turkmenistan,Asia,Central Asia
TCA,Turks and Caicos Islands,Americas,Caribbean
TUV,Tuvalu,Oceania,Polynesia
UGA,Uganda,Africa,Eastern Africa
UKR,Ukraine,Europe,Eastern Europe
ARE,United Arab Emirates,Asia,Western Asia
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
USA,United States of America,Americas,Northern America
URY,Uruguay,Americas,South America
UZB,Uzbekistan,Asia,Central Asia
VUT,Vanuatu,Oceania,Melanesia
VEN,Venezuela (Bolivarian Republic of),Americas,South America
VNM,Viet Nam,Asia,South-Eastern Asia
VGB,Virgin Islands (British),Americas,Caribbean
VIR,Virgin Islands (U.S.),Americas,Caribbean
WLF,Wallis and Futuna,Oceania,Polynesia
ESH,Western Sahara,Africa,Northern Africa
YEM,Yemen,Asia,Western Asia
ZMB,Zambia,Africa,Eastern Africa
ZWE,Zimbabwe,Africa,Eastern Africa
